HEAD  Armature_Head
NECK  Armature_Neck
TORSO Armature_Torso
SPINE Armature_Spine
HIPS Armature_Hips
SHOULDER_L  Armature_Arm_R
SHOULDER_R  Armature_Arm_L
ELBOW_L  Armature_Forearm_R
ELBOW_R  Armature_Forearm_L
WRIST_L  Armature_Wrist_R
WRIST_R  Armature_Wrist_L
LEG_L  Armature_Leg_R
LEG_R  Armature_Leg_L
KNEE_L  Armature_Leg_R_001 
KNEE_R  Armature_Leg_L_001 
ANKLE_L  Armature_Foot_R
ANKLE_R  Armature_Foot_L
FOOT_L  Armature_Foot_R_001
FOOT_R  Armature_Foot_L_001
THUMB_L  Armature_Thumb_R_002
THUMB_R  Armature_Thumb_L_002
FINGERS_L  Armature_Fingers_R_002 
FINGERS_R  Armature_Fingers_L_002 
